Invoice #,Vendor Name,Invoice Amount,Transaction Date,Entry Date,Posting Timestamp,Description,Department
INV-10210,Fabrikam Supplies,"21,587.48",11/03/2023,06/11/2023,2023-11-03 11:49:00,Purchase order for Fabrikam Supplies,IT
INV-10731,Fabrikam Supplies,"$11,349.54",2023-11-18,2023-11-18,2023-11-18 11:00:00,Weekend posting test,Operations
INV-10126,Dunder Mifflin Paper,"8,006.56",2024-11-06T00:00:00,2024-11-07,2024-11-06 18:24:00,Purchase order for Dunder Mifflin Paper,Facilities
INV-10388,Gekko & Co Capital,12638.20,2023-06-27T00:00:00,2023-06-30,2023-06-27 16:20:00,Purchase order for Gekko & Co Capital,IT
INV-10821,Fabrikam Supplies,34042.93,2023-06-21T00:00:00,23/06/2023,2023-06-21 15:24:00,Purchase order for Fabrikam Supplies,NaN
INV-10831,Fabrikam Supplies, 32127.31 ,"September 22, 2024",2024-09-22T00:00:00,2024-09-22 23:12:00,After-hours entry test,IT
INV-10878,Northwind Traders,"$35,129.59",04/23/2024,23-Apr-2024,2024-04-23 18:22:00,Purchase order for Northwind Traders,Facilities
INV-10450,Ünïcode Vendörs Ltd.,"33,178.49",12/10/2023,2023-12-13T00:00:00,2023-12-10 14:37:00,Purchase order for Ünïcode Vendörs Ltd.,Finance
INV-10805,Oscorp Chemical,41936.72,05/06/2023,2023-05-09T00:00:00,2023-05-06 14:25:00,Purchase order for Oscorp Chemical,IT
INV-10073,Cyberdyne Systems,"27,352.55","October 20, 2023",01/03/2024,2024-01-03 09:00:00,Backdated entry test,Finance
INV-11043,Aperture Science,11353.70,06/07/2024,2024-07-10T00:00:00,2024-07-06 07:43:00,Purchase order for Aperture Science,Procurement
INV-10534,Northwind Traders,"7,368.70",2023-07-22T00:00:00,2023-07-22T00:00:00,2023-07-22 11:00:00,Weekend posting test,--
INV-11101,Dunder Mifflin Paper,38385.74,2024-08-08,10/08/2024,2024-08-08 07:43:00,Purchase order for Dunder Mifflin Paper,Finance
INV-10370,Oscorp Chemical,$647.48,"March 14, 2024",15/03/2024,2024-03-14 09:12:00,Purchase order for Oscorp Chemical,Facilities
INV-10576,Vandelay Industries, 29653.35 ,10-Mar-2023,2023-03-14,2023-03-10 17:58:00,Purchase order for Vandelay Industries,Marketing
INV-10299,Stark Materials Co.,"$23,759.99",2024-03-28T00:00:00,29/03/2024,2024-03-28 18:39:00,Purchase order for Stark Materials Co.,Finance
INV-10212,Aperture Science,29369.80,23/03/2023,2023-03-26T00:00:00,2023-03-23 12:45:00,Purchase order for Aperture Science,Facilities
,Wayne Enterprises,"$37,116.53",27-Oct-2023,"October 27, 2023",2023-10-27 10:05:00,Purchase order for Wayne Enterprises,null
INV-11284,Contoso Manufacturing,15772.71,03/04/2024,"March 06, 2024",2024-03-04 07:34:00,Purchase order for Contoso Manufacturing,Facilities
INV-10114,Cyberdyne Systems,25636.19,26-Jul-2023,07/28/2023,2023-07-26 16:16:00,Purchase order for Cyberdyne Systems,Marketing
INV-10036,Northwind Traders,5708.32,08/01/2024,2024-08-02,2024-08-01 17:49:00,  Purchase order for Northwind Traders  ,IT
INV-10422,Sterling Cooper Ads,36277.79,27/05/2023,2023-05-31,2023-05-27 14:43:00,Purchase order for Sterling Cooper Ads,Finance
INV-10044,Fabrikam Supplies,21788.62,"February 07, 2023",07/02/2023,2023-02-07 18:11:00,Purchase order for Fabrikam Supplies,Operations
INV-11392,Tyrell Corporation,116.88,01/03/2023,"January 07, 2023",2023-01-03 14:04:00,Purchase order for Tyrell Corporation,Operations
INV-10502,Bluth Company,"44,520.86",2023-10-07,12-Oct-2023,2023-10-07 07:42:00,Purchase order for Bluth Company,Procurement
INV-11137,Weyland-Yutani Corp,"202,295.53",05-Oct-2024,2024-10-05,2024-10-05 15:00:00,Materiality breach test,Finance
INV-10770,Los Pollos Hermanos, 6265.90 ,07/06/2024,2024-07-06,2024-07-06 18:29:00,Purchase order for Los Pollos Hermanos,Finance
INV-10325,Prestige Worldwide,18336.93,28/04/2023,04/29/2023,2023-04-28 17:46:00,Purchase order for Prestige Worldwide,Procurement
INV-10180,Genco Pura Olive Oil,"39,015.11","October 19, 2024","October 22, 2024",2024-10-19 16:06:00,Purchase order for Genco Pura Olive Oil,Marketing
INV-11446,🚀 Rocket Supplies Inc.,5702.86,2024-01-27T00:00:00,31-Jan-2024,2024-01-27 07:24:00,Purchase order for 🚀 Rocket Supplies Inc.,Operations
INV-10278,Cyberdyne Systems,"2,949.88",20-Aug-2024,24-Aug-2024,2024-08-20 10:26:00,Purchase order for Cyberdyne Systems,Procurement
INV-10041,Weyland-Yutani Corp,"$40,406.44",09/20/2024,"September 22, 2024",2024-09-20 17:04:00,Purchase order for Weyland-Yutani Corp,Facilities
INV-10107,Umbrella Logistics,39721.25,17-Mar-2024,18/03/2024,2024-03-17 12:39:00,Purchase order for Umbrella Logistics,Procurement
INV-11440,Los Pollos Hermanos,18010.53,22/03/2023,"March 22, 2023",2023-03-22 22:35:00,After-hours entry test,IT
INV-10563,Los Pollos Hermanos,null,12/30/2024,02/01/2025,2024-12-30 17:05:00,Purchase order for Los Pollos Hermanos,Facilities
INV-11401,Tyrell Corporation,34962.75,2024-02-01T00:00:00,2024-02-01,2024-02-01 17:31:00,Purchase order for Tyrell Corporation,Marketing
INV-11292,Oscorp Chemical, 31880.61 ,"September 24, 2024","September 28, 2024",2024-09-24 18:24:00,Purchase order for Oscorp Chemical,Procurement
INV-11199,Genco Pura Olive Oil,None,2023-09-22T00:00:00,2023-09-25T00:00:00,2023-09-22 15:39:00,NaN,N/A
INV-10457,  北京贸易公司  ,8341.77,"November 15, 2023","November 20, 2023",2023-11-15 16:19:00,Purchase order for 北京贸易公司,Finance
INV-11341,Tyrell Corporation,"1,661.73",2024-03-29T00:00:00,04/03/2024,2024-03-29 18:08:00,Purchase order for Tyrell Corporation,IT
INV-11417,Cyberdyne Systems,93847.41,2023-11-15,2023-11-15,2023-11-15 15:00:00,Materiality breach test,Finance
INV-10876,  北京贸易公司  ,"$29,835.66",03/11/2024,08-Nov-2024,2024-11-03 09:00:00,Purchase order for 北京贸易公司,IT
INV-10583,Contoso Manufacturing,22285.19,14-May-2023,05/14/2023,2023-05-14 12:52:00,Purchase order for Contoso Manufacturing,N/A
INV-10187,Wayne Enterprises,22000.00,05/05/2024,"May 05, 2024",2024-05-05 14:00:00,Round dollar test,Procurement
INV-11113,Northwind Traders,39460.42,12/07/2024,08/12/2024,2024-12-07 07:50:00,Purchase order for Northwind Traders,
INV-11132,北京贸易公司,"$23,531.85",2023-03-18,18-Mar-2023,2023-03-18 14:36:00,Purchase order for 北京贸易公司,Finance
INV-10328,Bluth Company,"$29,963.22",2023-07-07,2023-07-09T00:00:00,2023-07-07 11:08:00,Purchase order for Bluth Company,Operations
INV-10433,Sterling Cooper Ads,42522.82,03/12/2023,2023-05-13,2023-05-13 09:00:00,Backdated entry test,Finance
INV-10297,Wonka Distribution,2879.06,06/02/2024,"June 06, 2024",2024-06-02 12:56:00,Purchase order for Wonka Distribution,Marketing
INV-10066,Initech Consulting,N/A,08/11/2024,11-Aug-2024,2024-08-11 13:45:00,Purchase order for Initech Consulting,Procurement
INV-11330,  Aperture Science  ,"34,076.86",2023-12-10,2023-12-14T00:00:00,2023-12-10 07:17:00,Purchase order for Aperture Science,IT
INV-10430,Stark Materials Co.,13669.77,13/12/2023,2023-12-18,2023-12-13 14:28:00,Purchase order for Stark Materials Co.,IT
INV-10835,Prestige Worldwide,28500.00,"June 11, 2023",11/06/2023,2023-06-11 14:00:00,Round dollar test,Procurement
INV-10220,Los Pollos Hermanos,"$21,112.07",2023-12-01T00:00:00,05-Dec-2023,2023-12-01 13:28:00,Purchase order for Los Pollos Hermanos,
INV-11482,Initech Consulting,26624.88,07/23/2024,2024-07-27,2024-07-23 16:25:00,Purchase order for Initech Consulting,Operations
INV-11069,Contoso Manufacturing, 2992.61 ,30-Mar-2023,01-Apr-2023,2023-03-30 11:55:00,Purchase order for Contoso Manufacturing,Marketing
INV-10772,Sterling Cooper Ads,35751.93,2023-10-26,26/10/2023,2023-10-26 17:31:00,Purchase order for Sterling Cooper Ads,
INV-10408,Sterling Cooper Ads,"18,999.54",2023-09-12T00:00:00,09/15/2023,2023-09-12 15:27:00,  Purchase order for Sterling Cooper Ads  ,Facilities
INV-10545,Contoso Manufacturing,19293.84,22/04/2024,"April 22, 2024",2024-04-22 02:45:00,After-hours entry test,IT
INV-11271,Umbrella Logistics,35436.30,15-Oct-2023,16/10/2023,2023-10-15 07:42:00,Purchase order for Umbrella Logistics,Facilities
INV-10312,  Los Pollos Hermanos  ,422.03,03/12/2023,03/12/2023,2023-12-03 09:27:00,Purchase order for Los Pollos Hermanos,Finance
INV-10311,Ünïcode Vendörs Ltd.,38180.55,12/16/2023,"December 17, 2023",2023-12-16 09:28:00,Purchase order for Ünïcode Vendörs Ltd.,Facilities
INV-10166,Genco Pura Olive Oil,"$29,776.18",2024-08-24,"August 27, 2024",2024-08-24 15:00:00,Purchase order for Genco Pura Olive Oil,
INV-10339,  Stark Materials Co.  ,"42,736.73",2023-11-06T00:00:00,2023-11-11T00:00:00,2023-11-06 09:07:00,Purchase order for Stark Materials Co.,NaN
INV-10923,Pied Piper Compression, 27724.51 ,"September 26, 2023",10/01/2023,2023-09-26 16:08:00,Purchase order for Pied Piper Compression,Facilities
INV-10307,Wayne Enterprises,"$42,195.57",04-Sep-2024,09/09/2024,2024-09-04 12:45:00,NA,
INV-11456,北京贸易公司,20276.35,2023-01-03,2023-01-03,2023-01-03 06:07:00,After-hours entry test,IT
INV-11495,Sterling Cooper Ads,12063.31,2023-01-28,31/01/2023,2023-01-28 08:47:00,Purchase order for Sterling Cooper Ads,N/A
INV-11095,北京贸易公司,25467.45,2023-10-30T00:00:00,31/10/2023,2023-10-30 07:12:00,Purchase order for 北京贸易公司,Marketing
INV-10543,Sterling Cooper Ads,32222.42,12-Jan-2023,01/15/2023,2023-01-12 12:34:00,Purchase order for Sterling Cooper Ads,--
INV-11367,Los Pollos Hermanos,"$8,780.07",20/12/2024,24-Dec-2024,2024-12-20 10:21:00,Purchase order for Los Pollos Hermanos,Procurement
INV-10140,  Genco Pura Olive Oil  ,"1,224.02","June 03, 2024","June 06, 2024",2024-06-03 09:23:00,Purchase order for Genco Pura Olive Oil,NaN
INV-10827,Wayne Enterprises,15622.38,"June 19, 2024",19/06/2024,2024-06-19 13:00:00,Holiday posting test,Operations
INV-10355,Pied Piper Compression, 14684.07 ,2024-03-15,19/03/2024,2024-03-15 08:50:00,Purchase order for Pied Piper Compression,Facilities
INV-10834,Vandelay Industries,"$42,693.09",2024-07-27T00:00:00,07/28/2024,2024-07-27 11:15:00,Purchase order for Vandelay Industries,
INV-10879,Stark Materials Co.,28193.87,2023-02-19T00:00:00,"February 20, 2023",2023-02-19 15:17:00,Purchase order for Stark Materials Co.,Operations
INV-11243,  Northwind Traders  ,"$33,942.34",2023-07-21,23/07/2023,2023-07-21 11:57:00,Purchase order for Northwind Traders,NA
INV-10185,Umbrella Logistics,44826.80,11/01/2023,"January 13, 2023",2023-01-11 15:00:00,Purchase order for Umbrella Logistics,
INV-11294,Weyland-Yutani Corp,37797.09,23/02/2024,2024-02-23,2024-02-23 12:46:00,Purchase order for Weyland-Yutani Corp,Operations
INV-10937,Oscorp Chemical,"$31,418.91",2024-09-25T00:00:00,2024-09-25T00:00:00,2024-09-25 13:38:00,None,Operations
INV-11328,Aperture Science,22469.52,"January 31, 2023",02/04/2023,2023-01-31 11:58:00,Purchase order for Aperture Science,
INV-10708,Pied Piper Compression,42860.95,2023-11-11T00:00:00,11/11/2023,2023-11-11 13:00:00,Holiday posting test,Operations
INV-10321,Gekko & Co Capital,21942.79,2023-02-13,15/02/2023,2023-02-13 07:36:00,Purchase order for Gekko & Co Capital,
INV-10262,北京贸易公司,21000.00,2024-05-03,2024-05-03T00:00:00,2024-05-03 14:00:00,Round dollar test,Procurement
INV-11445,Acme Global Holdings,2420.24,2024-10-10T00:00:00,2024-10-14,2024-10-10 14:00:00,  Purchase order for Acme Global Holdings  ,--
INV-10734,Fabrikam Supplies,"$26,371.43",2024-05-22,23-May-2024,2024-05-22 17:23:00,Purchase order for Fabrikam Supplies,IT
INV-11255,Los Pollos Hermanos,23080.87,2024-09-16T00:00:00,17/09/2024,2024-09-16 17:53:00,Purchase order for Los Pollos Hermanos,Finance
INV-10051,Wayne Enterprises,39331.37,27/09/2023,2023-09-28,2023-09-27 13:29:00,Purchase order for Wayne Enterprises,Operations
INV-10387,Dunder Mifflin Paper,17187.25,13-Jul-2023,07/17/2023,2023-07-13 13:56:00,Purchase order for Dunder Mifflin Paper,
INV-10893,Prestige Worldwide,21063.37,"November 16, 2024",11/16/2024,2024-11-16 11:00:00,Weekend posting test,Operations
INV-11264,Tyrell Corporation,13793.24,12/04/2024,04/17/2024,2024-04-12 08:24:00,Purchase order for Tyrell Corporation,IT
INV-11290,Wayne Enterprises,16171.01,2024-03-25,2024-03-27T00:00:00,2024-03-25 16:14:00,Purchase order for Wayne Enterprises,Marketing
INV-11160,Northwind Traders,"22,000.00",06/02/2024,"February 06, 2024",2024-02-06 14:00:00,Round dollar test,Procurement
INV-10823,Gekko & Co Capital,"$39,658.44",10/24/2024,27/10/2024,2024-10-24 10:58:00,Purchase order for Gekko & Co Capital,Facilities
INV-10536,Genco Pura Olive Oil,16684.85,2024-03-22T00:00:00,27/03/2024,2024-03-22 08:59:00,Purchase order for Genco Pura Olive Oil,Operations
INV-10436,Cyberdyne Systems,1003.77,"January 23, 2023",24-Jan-2023,2023-01-23 08:48:00,Purchase order for Cyberdyne Systems,-
INV-10156,Stark Materials Co.,24580.12,14/09/2023,17-Sep-2023,2023-09-14 10:18:00,Purchase order for Stark Materials Co.,NA
INV-10989,Tyrell Corporation,30609.38,08/29/2023,29/08/2023,2023-08-29 10:00:00,Dormant vendor test,Procurement
INV-10088,Ünïcode Vendörs Ltd.,28429.92,14/05/2024,05/15/2024,2024-05-14 12:01:00,Purchase order for Ünïcode Vendörs Ltd.,Procurement
INV-11303,Ünïcode Vendörs Ltd.,37660.45,2023-11-25,2023-11-25,2023-11-25 06:25:00,After-hours entry test,IT
INV-10833,Wonka Distribution,17367.50,2023-04-29T00:00:00,2023-05-01T00:00:00,2023-04-29 08:18:00,NaN,Operations
INV-11001,Wayne Enterprises,18056.62,2024-08-02T00:00:00,03-Aug-2024,2024-08-02 09:12:00,Purchase order for Wayne Enterprises,NA
INV-10703,Stark Materials Co.,24757.83,2023-10-27,27-Oct-2023,2023-10-27 09:08:00,Purchase order for Stark Materials Co.,Operations
INV-11352,Ünïcode Vendörs Ltd.,5079.76,05-Aug-2024,2024-08-05,2024-08-05 07:10:00,Purchase order for Ünïcode Vendörs Ltd.,Marketing
INV-10715,Los Pollos Hermanos, 30631.65 ,09/30/2023,2023-10-02T00:00:00,2023-09-30 18:03:00,Purchase order for Los Pollos Hermanos,Finance
INV-10021,  Soylent Foods Ltd.  ,"$24,285.25",2024-03-04,2024-03-05T00:00:00,2024-03-04 15:07:00,Purchase order for Soylent Foods Ltd.,Marketing
INV-10460,Weyland-Yutani Corp,22657.33,2023-06-10T00:00:00,11-Jun-2023,2023-06-10 18:28:00,Purchase order for Weyland-Yutani Corp,Procurement
INV-11064,Tyrell Corporation,38380.97,"July 01, 2023",2023-07-01,2023-07-01 11:00:00,Weekend posting test,Operations
INV-10901,Los Pollos Hermanos,11200.60,11/23/2024,"November 28, 2024",2024-11-23 15:51:00,Purchase order for Los Pollos Hermanos,Operations
INV-11015,Umbrella Logistics,25281.68,31-May-2024,2024-05-31T00:00:00,2024-05-31 10:00:00,Possible duplicate payment,Finance
INV-11304,Northwind Traders,"$40,821.65",2024-10-09,2024-10-14T00:00:00,2024-10-09 07:29:00,Purchase order for Northwind Traders,Operations
INV-10331,  Aperture Science  ,33752.06,"May 28, 2024",2024-05-31T00:00:00,2024-05-28 17:55:00,Purchase order for Aperture Science,Marketing
INV-11104,Gekko & Co Capital, 30590.54 ,"December 13, 2023",2023-12-18,2023-12-13 15:45:00,Purchase order for Gekko & Co Capital,
INV-11208,Acme Global Holdings,38325.59,01-Apr-2023,2023-05-05T00:00:00,2023-05-05 09:00:00,Backdated entry test,Finance
INV-11421,Fabrikam Supplies,"42,812.29",2023-10-17T00:00:00,2023-10-20,2023-10-17 16:14:00,,N/A
INV-10955,  Massive Dynamic  ,5224.19,06/06/2024,2024-06-06T00:00:00,2024-06-06 14:30:00,Purchase order for Massive Dynamic,-
INV-11437,Los Pollos Hermanos, 21843.06 ,07/24/2024,2024-07-24T00:00:00,2024-07-24 07:18:00,Purchase order for Los Pollos Hermanos,
INV-10843,Aperture Science,42394.79,2024-09-05T00:00:00,09/06/2024,2024-09-05 12:08:00,Purchase order for Aperture Science,Marketing
INV-11209,🚀 Rocket Supplies Inc.,"$16,642.08","June 25, 2024",03-Sep-2024,2024-09-03 09:00:00,Backdated entry test,-
INV-10417,Wayne Enterprises,15545.98,"May 16, 2024",05/17/2024,2024-05-16 17:14:00,Purchase order for Wayne Enterprises,Procurement
INV-10239,Vandelay Industries,"$7,962.08",25-Jul-2023,20/10/2023,2023-10-20 09:00:00,Backdated entry test,Finance
INV-10256,Weyland-Yutani Corp,"30,953.49",2024-04-23T00:00:00,28-Apr-2024,2024-04-23 13:25:00,Purchase order for Weyland-Yutani Corp,Finance
INV-10586,北京贸易公司,43942.20,2023-11-11,2023-11-11T00:00:00,2023-11-11 11:00:00,Weekend posting test,Operations
INV-11415,Cyberdyne Systems,32758.11,14-Apr-2023,"April 18, 2023",2023-04-14 11:00:00,Purchase order for Cyberdyne Systems,
INV-11457,Cyberdyne Systems,"$21,040.64","October 14, 2024",2024-10-14,2024-10-14 09:17:00,  Purchase order for Cyberdyne Systems  ,Finance
INV-10168,Cyberdyne Systems,"24,390.77",16-Feb-2024,"February 16, 2024",2024-02-16 10:58:00,Purchase order for Cyberdyne Systems,Operations
INV-11067,Ünïcode Vendörs Ltd., 44875.32 ,05/18/2024,"May 21, 2024",2024-05-18 14:22:00,Purchase order for Ünïcode Vendörs Ltd.,Finance
INV-10079,Pied Piper Compression,4927.52,"June 21, 2023",2023-06-21,2023-06-21 17:13:00,Purchase order for Pied Piper Compression,Marketing
INV-11060,Cyberdyne Systems,35365.23,10/12/2023,"October 13, 2023",2023-10-12 18:03:00,Purchase order for Cyberdyne Systems,IT
INV-11498,北京贸易公司,16144.56,"February 16, 2024",02/21/2024,2024-02-16 09:37:00,Purchase order for 北京贸易公司,Marketing
INV-11184,Northwind Traders,7104.80,21/07/2024,2024-07-23T00:00:00,2024-07-21 08:14:00,Purchase order for Northwind Traders,NaN
INV-10035,  Tyrell Corporation  ,30482.05,2024-03-04T00:00:00,"March 05, 2024",2024-03-04 08:52:00,Purchase order for Tyrell Corporation,N/A
INV-10966,Soylent Foods Ltd.,28500.00,2023-11-27,2023-11-27T00:00:00,2023-11-27 14:00:00,Round dollar test,NA
INV-10437,Aperture Science,"13,474.23",11-Jun-2024,2024-06-13,2024-06-11 18:31:00,Purchase order for Aperture Science,Operations
INV-10102,Umbrella Logistics,32690.26,2024-12-23T00:00:00,2024-12-28T00:00:00,2024-12-23 17:04:00,Purchase order for Umbrella Logistics,Finance
INV-11202,Umbrella Logistics,12497.98,"October 24, 2024",2024-10-24T00:00:00,2024-10-24 03:26:00,After-hours entry test,IT
INV-11251,Oscorp Chemical,"38,344.32","January 07, 2023",07/01/2023,2023-01-07 11:00:00,Weekend posting test,Operations
INV-10587,Los Pollos Hermanos,39821.03,17-Nov-2024,2024-11-18T00:00:00,2024-11-17 18:10:00,Purchase order for Los Pollos Hermanos,Marketing
INV-10121,北京贸易公司, 9404.63 ,2024-02-22,24/02/2024,2024-02-22 13:41:00,Purchase order for 北京贸易公司,NA
INV-11191,🚀 Rocket Supplies Inc.,"$38,896.68",2024-12-21,2024-12-24T00:00:00,2024-12-21 16:00:00,  Purchase order for 🚀 Rocket Supplies Inc.  ,Facilities
INV-10001,Los Pollos Hermanos,4000.00,17/12/2024,17/12/2024,2024-12-17 14:00:00,Round dollar test,Procurement
INV-11385,  Umbrella Logistics  ,34711.54,"February 06, 2023",2023-02-07T00:00:00,2023-02-06 10:52:00,Purchase order for Umbrella Logistics,Procurement
INV-10828,Umbrella Logistics, 18284.42 ,"July 08, 2024",11/07/2024,2024-07-08 17:17:00,Purchase order for Umbrella Logistics,None
INV-10525,Northwind Traders,14385.94,2024-11-22,25/11/2024,2024-11-22 11:58:00,Purchase order for Northwind Traders,Finance
INV-10896,Gekko & Co Capital,37511.80,07/06/2023,2023-06-11T00:00:00,2023-06-07 14:46:00,Purchase order for Gekko & Co Capital,Procurement
INV-10334,🚀 Rocket Supplies Inc.,16289.94,"August 15, 2023",08/15/2023,2023-08-15 08:29:00,Purchase order for 🚀 Rocket Supplies Inc.,Finance
INV-10028,Los Pollos Hermanos,189346.15,06/08/2023,08/06/2023,2023-06-08 15:00:00,Materiality breach test,Finance
INV-11492,Vandelay Industries,397.96,09/05/2023,10-May-2023,2023-05-09 09:00:00,Duplicate test group 2 copy 0,Procurement
INV-11193,Oscorp Chemical,42505.57,2023-07-24,07/25/2023,2023-07-24 07:38:00,Purchase order for Oscorp Chemical,Operations
INV-10985,Northwind Traders,"$21,958.10",23-Mar-2024,28/03/2024,2024-03-23 17:06:00,Purchase order for Northwind Traders,Marketing
INV-10404,Los Pollos Hermanos,"$24,860.18",2024-05-11,11-May-2024,2024-05-11 23:56:00,After-hours entry test,IT
INV-10971,Ünïcode Vendörs Ltd.,43201.25,10/13/2023,15-Oct-2023,2023-10-13 12:00:00,Purchase order for Ünïcode Vendörs Ltd.,null
INV-10885,Pied Piper Compression,1855.13,18-Jan-2023,2023-01-20T00:00:00,2023-01-18 11:22:00,Purchase order for Pied Piper Compression,Marketing
INV-10267,Northwind Traders, 40003.26 ,26-Aug-2024,28-Aug-2024,2024-08-26 18:48:00,Purchase order for Northwind Traders,Marketing
INV-10849,Weyland-Yutani Corp,"$33,579.12",2024-05-08,"May 11, 2024",2024-05-08 17:19:00,Purchase order for Weyland-Yutani Corp,None
INV-10324,Gekko & Co Capital,"$39,790.53","September 08, 2024","September 13, 2024",2024-09-08 10:14:00,Purchase order for Gekko & Co Capital,Operations
INV-11432,Genco Pura Olive Oil,8334.38,"January 06, 2023",07-Jan-2023,2023-01-06 09:00:00,Duplicate test group 1 copy 0,None
INV-11159,Dunder Mifflin Paper,"43,438.31",27/11/2023,"November 29, 2023",2023-11-27 10:25:00,Purchase order for Dunder Mifflin Paper,
INV-10393,Cyberdyne Systems,"37,369.89",09/02/2024,2024-02-09T00:00:00,2024-02-09 10:42:00,NaN,Procurement
,  Soylent Foods Ltd.  ,"$24,285.25",2024-03-04,2024-03-05T00:00:00,2024-03-04 15:07:00,Purchase order for Soylent Foods Ltd.,Marketing
INV-10271,Weyland-Yutani Corp,2323576.19,29/06/2024,06/29/2024,2024-06-29 09:00:00,Vendor concentration test,
INV-10963,Acme Global Holdings,36441.22,01/01/2023,05/01/2023,2023-01-01 09:55:00,Purchase order for Acme Global Holdings,
INV-10463,北京贸易公司,21418.49,"September 13, 2023",17-Sep-2023,2023-09-13 15:09:00,Purchase order for 北京贸易公司,Facilities
INV-10004,Umbrella Logistics,16334.75,2024-12-28T00:00:00,28/12/2024,2024-12-28 12:38:00,Purchase order for Umbrella Logistics,
INV-10777,Stark Materials Co.,26616.52,15-Aug-2023,18/08/2023,2023-08-15 14:22:00,  Purchase order for Stark Materials Co.  ,
INV-11035,Massive Dynamic,"$27,620.56",27/04/2023,2023-04-28,2023-04-27 17:45:00,Purchase order for Massive Dynamic,IT
INV-10275,Acme Global Holdings,10038.33,2024-01-25T00:00:00,"January 25, 2024",2024-01-25 12:13:00,Purchase order for Acme Global Holdings,Procurement
INV-10182,Ünïcode Vendörs Ltd., 43625.02 ,2024-04-22T00:00:00,2024-04-23T00:00:00,2024-04-22 09:05:00,Purchase order for Ünïcode Vendörs Ltd.,None
INV-11182,Northwind Traders,21215.95,2023-12-16T00:00:00,"December 20, 2023",2023-12-16 08:51:00,Purchase order for Northwind Traders,IT
INV-11489,Wonka Distribution,41433.75,11/11/2023,11-Nov-2023,2023-11-11 11:00:00,Weekend posting test,Operations
INV-10260,Aperture Science,34747.52,"January 14, 2023","January 17, 2023",2023-01-14 16:43:00,Purchase order for Aperture Science,null
INV-10743,Vandelay Industries,8365.05,04/23/2024,04/28/2024,2024-04-23 15:14:00,Purchase order for Vandelay Industries,-
INV-10781,Gekko & Co Capital, 38663.68 ,17-Apr-2024,17-Apr-2024,2024-04-17 18:15:00,Purchase order for Gekko & Co Capital,Procurement
INV-11453,Fabrikam Supplies,44848.70,2024-02-26,2024-02-28,2024-02-26 11:47:00,Purchase order for Fabrikam Supplies,Facilities
INV-10462,Ünïcode Vendörs Ltd.,17000.00,03/30/2023,2023-03-30T00:00:00,2023-03-30 14:00:00,Round dollar test,Procurement
INV-10327,Ünïcode Vendörs Ltd.,"$6,084.74",04-Jun-2024,"June 09, 2024",2024-06-04 13:06:00,Purchase order for Ünïcode Vendörs Ltd.,
INV-10861,Initech Consulting,24806.29,2024-04-08,10-Apr-2024,2024-04-08 14:28:00,Purchase order for Initech Consulting,Procurement
INV-10829,  Dunder Mifflin Paper  ,25018.20,06-Apr-2023,2023-04-06T00:00:00,2023-04-06 08:24:00,Purchase order for Dunder Mifflin Paper,
INV-10128,Massive Dynamic,18134.20,2024-09-25T00:00:00,2024-09-26T00:00:00,2024-09-25 13:12:00,Purchase order for Massive Dynamic,Finance
INV-10384,Pied Piper Compression,16509.81,"May 16, 2023",2023-05-17T00:00:00,2023-05-16 14:13:00,Purchase order for Pied Piper Compression,Operations
INV-10977,Massive Dynamic,-5000.00,25/07/2024,25/07/2024,2024-07-25 09:00:00,Outlier stress test,Finance
INV-11229,Genco Pura Olive Oil,42913.27,09/23/2024,2024-09-23,2024-09-23 10:58:00,Purchase order for Genco Pura Olive Oil,
INV-10069,Northwind Traders,35389.52,02/04/2024,2024-04-02,2024-04-02 10:00:00,Possible duplicate payment,Finance
INV-10916,Massive Dynamic,"$32,074.56",02-Apr-2023,04/07/2023,2023-04-02 13:17:00,Purchase order for Massive Dynamic,Marketing
INV-10712,  Cyberdyne Systems  ,"22,067.75","January 16, 2024",16-Jan-2024,2024-01-16 10:11:00,Purchase order for Cyberdyne Systems,IT
INV-10332,Weyland-Yutani Corp,"15,666.73",25-Feb-2023,02-Mar-2023,2023-02-25 10:06:00,Purchase order for Weyland-Yutani Corp,Facilities
INV-11216,  Massive Dynamic  ,"25,471.98","May 07, 2024",2024-05-07,2024-05-07 08:11:00,Purchase order for Massive Dynamic,IT
INV-10063,Umbrella Logistics,42846.82,09-Aug-2023,"August 09, 2023",2023-08-09 10:00:00,Possible duplicate payment,N/A
INV-10026,Soylent Foods Ltd.,"$7,537.77",2024-05-06T00:00:00,11/05/2024,2024-05-06 11:51:00,Purchase order for Soylent Foods Ltd.,Procurement
INV-10095,Pied Piper Compression,25099.99,"January 19, 2023",21/01/2023,2023-01-19 11:05:00,Purchase order for Pied Piper Compression,None
INV-11214,Sterling Cooper Ads,12766.13,2023-12-26T00:00:00,2023-12-29T00:00:00,2023-12-26 10:31:00,Purchase order for Sterling Cooper Ads,Marketing
INV-11044,  Initech Consulting  ,"6,301.48",07-Feb-2024,2024-02-12,2024-02-07 13:49:00,Purchase order for Initech Consulting,Marketing
INV-10412,Genco Pura Olive Oil, 25201.93 ,2024-09-25T00:00:00,09/27/2024,2024-09-25 16:49:00,Purchase order for Genco Pura Olive Oil,Operations
